epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7339.82,1.91485,1.19864,1.04002,0.73407,0.56495,0.64501,0.29633,1.74451,1.05268,0.99114,0.0079705,0.0079705,0.0079705
43,7513.99,1.91062,1.18832,1.04308,0.73878,0.56589,0.64927,0.30025,1.74127,1.0382,0.99207,0.007921,0.007921,0.007921
44,7689.65,1.92878,1.20724,1.0387,0.72323,0.57649,0.64909,0.29953,1.74643,1.03778,0.99129,0.0078715,0.0078715,0.0078715
45,7867.79,1.91505,1.20088,1.04359,0.73305,0.56346,0.64438,0.29663,1.75067,1.04799,0.99364,0.007822,0.007822,0.007822
46,8046.34,1.91568,1.19432,1.03336,0.73048,0.56761,0.64715,0.29857,1.75265,1.03341,0.99337,0.0077725,0.0077725,0.0077725
47,8225.79,1.90785,1.17981,1.0331,0.74207,0.56704,0.65067,0.30266,1.73485,1.0296,0.98925,0.007723,0.007723,0.007723
48,8404.32,1.88713,1.17305,1.03017,0.73625,0.56983,0.65095,0.3034,1.73278,1.02853,0.98732,0.0076735,0.0076735,0.0076735
49,8580.78,1.88715,1.16722,1.04134,0.7344,0.5677,0.64813,0.30021,1.73719,1.03483,0.98859,0.007624,0.007624,0.007624
50,8757.23,1.88088,1.17329,1.0376,0.73993,0.57742,0.6542,0.30279,1.73391,1.02444,0.98723,0.0075745,0.0075745,0.0075745
51,8933.35,1.90397,1.17338,1.03338,0.75073,0.57234,0.65536,0.30368,1.73363,1.01895,0.99002,0.007525,0.007525,0.007525
52,9107.96,1.90721,1.18011,1.03463,0.73522,0.58036,0.65567,0.30603,1.72868,1.02645,0.98669,0.0074755,0.0074755,0.0074755
53,9282.42,1.86606,1.13888,1.03532,0.73766,0.57549,0.65627,0.30554,1.7285,1.01494,0.98726,0.007426,0.007426,0.007426
54,9456.96,1.89451,1.16178,1.0338,0.75046,0.57483,0.66094,0.30904,1.72735,1.01153,0.98875,0.0073765,0.0073765,0.0073765
55,9631.73,1.87428,1.14581,1.02556,0.74302,0.57792,0.6604,0.30874,1.72608,1.01298,0.98549,0.007327,0.007327,0.007327
56,9806.36,1.88749,1.14909,1.03314,0.74103,0.57957,0.65859,0.30731,1.72559,1.01297,0.98493,0.0072775,0.0072775,0.0072775
57,9980.4,1.88014,1.14575,1.03307,0.74323,0.58064,0.66497,0.31034,1.72104,1.01035,0.98329,0.007228,0.007228,0.007228
58,10153.3,1.8903,1.16255,1.0255,0.74547,0.57952,0.66332,0.31082,1.72316,1.01766,0.98449,0.0071785,0.0071785,0.0071785
59,10327,1.89175,1.16164,1.03176,0.74659,0.57999,0.6626,0.31067,1.72441,1.01147,0.98375,0.007129,0.007129,0.007129
60,10500.6,1.86594,1.13919,1.02452,0.75198,0.58168,0.66286,0.31114,1.72831,1.00406,0.98461,0.0070795,0.0070795,0.0070795
61,10674.9,1.86849,1.13153,1.02398,0.75959,0.57599,0.66512,0.31149,1.71603,1.00563,0.98272,0.00703,0.00703,0.00703
62,10848.4,1.86065,1.14081,1.02281,0.75664,0.57959,0.66798,0.31227,1.72245,1.00365,0.98359,0.0069805,0.0069805,0.0069805
63,11022.5,1.85392,1.12457,1.03092,0.75548,0.57817,0.66453,0.31205,1.72034,1.0016,0.98335,0.006931,0.006931,0.006931
64,11196.4,1.86067,1.12416,1.02895,0.7495,0.58559,0.66737,0.31188,1.71383,1.00465,0.98255,0.0068815,0.0068815,0.0068815
65,11371.1,1.84998,1.11113,1.03147,0.74868,0.58658,0.66923,0.31506,1.71157,1.00727,0.9804,0.006832,0.006832,0.006832
66,11545.7,1.86367,1.14107,1.0269,0.74753,0.58925,0.66952,0.31301,1.71719,1.00275,0.98215,0.0067825,0.0067825,0.0067825
67,11718.4,1.87728,1.13516,1.02614,0.75516,0.57935,0.66619,0.31241,1.7098,1.00023,0.98022,0.006733,0.006733,0.006733
68,11892.1,1.85648,1.12729,1.02432,0.75267,0.58086,0.66546,0.31409,1.70803,0.99737,0.98089,0.0066835,0.0066835,0.0066835
69,12066.2,1.86168,1.12909,1.02166,0.75159,0.58827,0.67183,0.31679,1.70567,0.99036,0.98002,0.006634,0.006634,0.006634
70,12240.1,1.8565,1.1202,1.02342,0.75017,0.59092,0.67097,0.31555,1.70932,0.99202,0.98038,0.0065845,0.0065845,0.0065845
71,12413.9,1.861,1.12753,1.02006,0.75871,0.58587,0.67155,0.31658,1.71042,0.98942,0.98046,0.006535,0.006535,0.006535
72,12588.3,1.8457,1.12227,1.02721,0.75957,0.58401,0.67193,0.31748,1.70486,0.98956,0.97874,0.0064855,0.0064855,0.0064855
73,12761.5,1.86409,1.12352,1.02322,0.75592,0.59024,0.67323,0.31669,1.7056,0.9854,0.9794,0.006436,0.006436,0.006436
74,12935,1.85208,1.10933,1.02064,0.75252,0.59622,0.67471,0.31889,1.70612,0.98331,0.9793,0.0063865,0.0063865,0.0063865
75,13108.7,1.83938,1.1078,1.02017,0.75123,0.59081,0.67215,0.3162,1.70745,0.98452,0.98062,0.006337,0.006337,0.006337
76,13282.8,1.86261,1.10791,1.02149,0.74312,0.59854,0.67408,0.3173,1.70454,0.98485,0.97893,0.0062875,0.0062875,0.0062875
77,13457.4,1.84023,1.11296,1.01653,0.75553,0.5936,0.67614,0.31928,1.70352,0.98482,0.97785,0.006238,0.006238,0.006238
78,13630.9,1.8268,1.08944,1.01493,0.75985,0.59278,0.67501,0.31876,1.70297,0.97839,0.97743,0.0061885,0.0061885,0.0061885
79,13805.5,1.85419,1.09739,1.01797,0.75678,0.59339,0.67333,0.31849,1.69821,0.97803,0.97699,0.006139,0.006139,0.006139
80,13981.2,1.84636,1.10454,1.01334,0.75904,0.5915,0.67543,0.31864,1.69884,0.97909,0.97599,0.0060895,0.0060895,0.0060895
81,14155.2,1.84168,1.10369,1.01731,0.75867,0.59396,0.67684,0.31952,1.6975,0.97738,0.97593,0.00604,0.00604,0.00604
82,14328.3,1.83152,1.08444,1.0123,0.75796,0.59207,0.67613,0.32064,1.7002,0.97326,0.97697,0.0059905,0.0059905,0.0059905
83,14501.5,1.82674,1.0953,1.01502,0.75882,0.59305,0.67504,0.32081,1.69669,0.97,0.97662,0.005941,0.005941,0.005941
84,14675,1.83287,1.08988,1.01925,0.75855,0.59195,0.67554,0.32064,1.69534,0.97493,0.9755,0.0058915,0.0058915,0.0058915
85,14849,1.8338,1.08574,1.01425,0.76662,0.58859,0.6777,0.32131,1.69616,0.97089,0.97618,0.005842,0.005842,0.005842
86,15023.6,1.82796,1.07874,1.01587,0.75317,0.59548,0.67874,0.32191,1.69456,0.97071,0.97585,0.0057925,0.0057925,0.0057925
87,15197.8,1.82485,1.07913,1.00879,0.75827,0.59389,0.68045,0.32164,1.69443,0.96852,0.97538,0.005743,0.005743,0.005743
88,15372.4,1.81279,1.07563,1.01419,0.75135,0.59984,0.68119,0.32141,1.69554,0.97028,0.97723,0.0056935,0.0056935,0.0056935
