epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,32114.3,1.67347,0.92205,0.97075,0.7611,0.61759,0.69661,0.33129,1.68939,0.93433,0.97424,0.0009415,0.0009415,0.0009415
185,32289,1.66479,0.91447,0.96837,0.76206,0.61744,0.69687,0.3309,1.6895,0.93448,0.97416,0.000892,0.000892,0.000892
186,32463.2,1.66676,0.91348,0.96432,0.7619,0.61737,0.69656,0.33094,1.68983,0.93463,0.97425,0.0008425,0.0008425,0.0008425
187,32637.3,1.6454,0.90648,0.96876,0.76313,0.61687,0.69648,0.33088,1.68953,0.9342,0.97427,0.000793,0.000793,0.000793
188,32811,1.65495,0.90434,0.9655,0.76333,0.61649,0.69654,0.33097,1.68977,0.93456,0.97427,0.0007435,0.0007435,0.0007435
189,32984.9,1.6499,0.90631,0.96252,0.76206,0.61744,0.69638,0.33091,1.68977,0.93387,0.97429,0.000694,0.000694,0.000694
190,33158.6,1.65889,0.91187,0.96355,0.7629,0.61663,0.69605,0.33089,1.68966,0.93392,0.97418,0.0006445,0.0006445,0.0006445
191,33334.4,1.64255,0.90373,0.96444,0.76278,0.61692,0.69606,0.33113,1.68968,0.93429,0.97427,0.000595,0.000595,0.000595
192,33508.3,1.64843,0.90308,0.96482,0.76285,0.61713,0.69624,0.3312,1.68996,0.93419,0.97421,0.0005455,0.0005455,0.0005455
193,33681.8,1.6343,0.89328,0.96394,0.76303,0.61684,0.69626,0.33099,1.68995,0.9339,0.9743,0.000496,0.000496,0.000496
194,33855,1.62404,0.87351,0.96396,0.76173,0.61794,0.69629,0.33106,1.69041,0.93441,0.97446,0.0004465,0.0004465,0.0004465
195,34028.2,1.63808,0.88792,0.96492,0.76316,0.61744,0.69636,0.33107,1.69052,0.93412,0.97447,0.000397,0.000397,0.000397
196,34202.3,1.6335,0.89138,0.95759,0.76326,0.61751,0.69633,0.33089,1.69102,0.9345,0.97464,0.0003475,0.0003475,0.0003475
197,34375,1.62625,0.88777,0.96397,0.76398,0.61715,0.69615,0.3311,1.69124,0.93492,0.97471,0.000298,0.000298,0.000298
198,34548,1.63176,0.88751,0.95794,0.76425,0.61715,0.69643,0.33085,1.69133,0.93496,0.97452,0.0002485,0.0002485,0.0002485
199,34720.9,1.63511,0.89307,0.96146,0.76352,0.61782,0.69687,0.33081,1.6909,0.93437,0.97415,0.000199,0.000199,0.000199
200,34893.5,1.64226,0.88917,0.95982,0.76358,0.61808,0.69673,0.33087,1.69137,0.93432,0.97427,0.0001495,0.0001495,0.0001495
